Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"R21",82k,R0805,RMCF0805FT82K0,Stackpole Electronics Inc,DK,RMCF0805FT82K0CT-ND,RES 82K OHM 1/8W 1%,0805,REF54
5,"R5, R14, R15, R22, R30",100k,R0805,RMCF0805FT100K,Stackpole Electronics Inc,DK,RMCF0805FT100KCT-ND,RES 100K OHM 1/8W 1%,0805,REF33
2,"C1, C7",100nF,C0805,C0805C104K5RACTU,Kemet,DK,399-1170-1-ND,CAP CER 0.1UF 100NF 50V 10% X7R 0805,0805,REF10
1,"R17",220R,R0805,RMCF0805FT220R,Stackpole Electronics Inc,DK,RMCF0805FT220RCT-ND,RES 220 OHM 1/8W 1%,0805,REF51
1,"C10",220pF,C0805,CC0805KRX7R9BB221,Yageo,DK,311-1123-1-ND,CAP CER 220PF 50V 10% X7R,0805,REF16
1,"R25",470k,R0805,CRCW0805470KFKEA,Vishay Dale,DK,541-470KCCT-ND,RES 470K OHM 1/8W 1%,0805,REF39
1,"JP1",AUDIO-JACK-3P,CUI-352X-SMT,SJ-3523-SMT-TR,CUI Inc,DK,CP-3523SJCT-ND,CONN AUDIO JACK 3.5MM STEREO SMD,None,REF22
1,"S1",Accent,TACTILE-SWITCH-SMD,PTS525SM10SMTR LFS,C&K; Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,None,REF12
5,"T1, T2, T3, T5, T6",BC846,SOT23,BC846BMTF,Fairchild Semiconductor,DK,BC846BMTFCT-ND,TRANSISTOR NPN 65V 0.1A,SOT23,REF1
1,"T4",BC856,SOT23-BEC,BC856BMTF,Fairchild Semiconductor,DK,BC856BMTFCT-ND,TRANSISTOR PNP 65V 100MA,SOT-23,REF3
1,"R26",Decay / 500k Lin,POTENTIOMETER-PTV09,296UD504B1N,CTS Electrocomponents,DK,CT2270-ND,POT 500K OHM 1/8W CARB VERTICAL LIN,THT,REF18
1,"D2",FDLL914A,MELF-MLL34,FDLL914A,Fairchild Semiconductor,DK,FDLL914ACT-ND,DIODE SMALL SIG 100V 0.2A,LL34,REF4
1,"R20",Level / 100k Lin,POTENTIOMETER-CTS296,296UD104B1N,CTS Electrocomponents,DK,CT2268-ND,POT 100K OHM 1/8W CARB VERTICAL LIN,THT,REF19
1,"IC1",TL072D,SO08,TL072SG-13,Diodes Incorporated,DK,TL072SG-13DICT-ND,IC OPAMP JFET 3MHZ,8SOP,REF5
1,"R19",Tone / 10k Log,POTENTIOMETER-PTV09,PTV09A-4020F-A103,Bourns Inc.,DK,PTV09A-4020F-A103-ND,POT 10K OHM 9MM SQ .05W HORIZ LOG,THT,REF20
1,"S2",Trigger,TACTILE-SWITCH-SMD,PTS525SM10SMTR LFS,C&K; Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,None,REF12
2,"C20, C21",0.1uF,0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R,0805,REF24
1,"C1",0.47,PANASONIC_VS_B-2,EEE-1HAR47AR,Panasonic Electronic Components,DK,PCE4628CT-ND,CAP ALUM 0.47UF 50V 20%,PAN_VS_B,REF7
1,"C19",0.47uF,PANASONIC_VS_B-2,UWJ1HR47MCL1GB,Nichicon,DK,493-9803-1-ND,CAP ALUM 0.47UF 50V 20% PANASONIC_VS_B,REF15,*
5,"C4, C6, C7, C12, C13",1.5nF,0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R,0805,REF24
5,"R18, R27, R28, R38, R39",1M,0805,RMCF0805FT10K0,Stackpole Electronics Inc,DK,RMCF0805FT10K0CT-ND,RES 10K OHM 1/8W 1%,0805,REF36
2,"R37, R48",1k,0805,RMCF0805FT10K0,Stackpole Electronics Inc,DK,RMCF0805FT10K0CT-ND,RES 10K OHM 1/8W 1%,0805,REF36
3,"C14, C15, C28",1nF,0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R,0805,REF24
1,"C31",2.2uF,0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R,0805,REF24
2,"R30, R41",2.7k,0805,RMCF0805FT10K0,Stackpole Electronics Inc,DK,RMCF0805FT10K0CT-ND,RES 10K OHM 1/8W 1%,0805,REF36
1,"R25",2M,POTENTIOMETER-3352P,3352P-1-205LF,Bourns,ME,652-3352P-1-205LF,Trimmer Resistors - Through Hole 3/8"round 2Mohms 0.5watt 20%,THT,REF57
2,"C29, C30",3.3nF,0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP CER 6800PF 50V 10% X7R,0805,REF24
2,"R1, R9",4.7k,0805,RMCF0805FT10K0,Stackpole Electronics Inc,DK,RMCF0805FT10K0CT-ND,RES 10K OHM 1/8W 1%,0805,REF36
